ID,Variable,Categoria_id,Categoria
AT01,Number_of_trades,AT,global
AT07,Number_of_trades_opened_in_past_12_months,AT,global
AT09,Number_of_trades_opened_in_past_24_months,AT,global
AT20,Months_since_oldest_account_opened,AT,global
AT21,Months_since_most_recent_account_opened,AT,global
AT29,Number_of_trades_with_current_balance_balance_greater_than_0,AT,global
BC01,Number_of_bankcard_accounts,BC,banking
BC02,Number_of_currently_active_bankcard_accounts,BC,banking
BC07,Number_of_bankcard_accounts_opened_in_past_12_months,BC,banking
BC09,Number_of_bankcard_accounts_opened_in_past_24_months,BC,banking
BC20,Months_since_oldest_bankcard_account_opened,BC,banking
BC21,Months_since_most_recent_bankcard_account_opened,BC,banking
BC29,Number_of_bankcard_accounts_with_current_balance_balance_greater_than_0,BC,banking
BI01,Number_of_bank_installment_accounts,BI,bank_installment
BI07,Number_of_bank_installment_accounts_opened_in_past_12_months,BI,bank_installment
BI09,Number_of_bank_installment_accounts_opened_in_past_24_months,BI,bank_installment
BI20,Months_since_oldest_bank_installment_account_opened,BI,bank_installment
FI01,Number_of_finance_installment_trades,FI,finance
FI07,Number_of_finance_installment_trades_opened_in_past_12_months,FI,finance
FI09,Number_of_finance_installment_trades_opened_in_past_24_months,FI,finance
G103,Months_since_most_recent_activity,G1,age
G104,Months_on_file,G1,age
IN01,Number_of_installment_accounts,IN,installment
IN02,Number_of_currently_active_installment_trades,IN,installment
IN07,Number_of_installment_accounts_opened_in_past_12_months,IN,installment
IN09,Number_of_installment_accounts_opened_in_past_24_months,IN,installment
IN20,Months_since_oldest_installment_account_opened,IN,installment
IN21,Months_since_most_recent_installment_accounts_opened,IN,installment
IN29,Number_of_installment_trades_with_balance_balance_greater_than_0,IN,installment
MT01,Number_of_mortgage_accounts,MT,mortgage
MT02,Number_of_currently_active_mortgage_accounts,MT,mortgage
MT07,Number_of_mortgage_accounts_opened_in_past_12_months,MT,mortgage
MT09,Number_of_mortgage_accounts_opened_in_past_24_months,MT,mortgage
MT20,Months_since_oldest_mortgage_account_opened,MT,mortgage
