columna,tipo_dato
MES,int64
CLIENTEID,int64
SH01_Hit_Indicator,bool
Score_1,float64
Score_1_Derogatory_Alert,object
Number_of_trades,float64
Number_of_trades_opened_in_past_12_months,float64
Number_of_trades_opened_in_past_24_months,float64
Months_since_oldest_account_opened,float64
Months_since_most_recent_account_opened,float64
Number_of_trades_with_current_balance_balance_greater_than_0,float64
Number_of_bankcard_accounts,float64
Number_of_currently_active_bankcard_accounts,float64
Number_of_bankcard_accounts_opened_in_past_12_months,float64
Number_of_bankcard_accounts_opened_in_past_24_months,float64
Months_since_oldest_bankcard_account_opened,float64
Months_since_most_recent_bankcard_account_opened,float64
Number_of_bankcard_accounts_with_current_balance_balance_greater_than_0,float64
Number_of_bank_installment_accounts,float64
Number_of_bank_installment_accounts_opened_in_past_12_months,float64
Number_of_bank_installment_accounts_opened_in_past_24_months,float64
Months_since_oldest_bank_installment_account_opened,float64
Number_of_finance_installment_trades,float64
Number_of_finance_installment_trades_opened_in_past_12_months,float64
Number_of_finance_installment_trades_opened_in_past_24_months,float64
Months_since_most_recent_activity,float64
Months_on_file,float64
Number_of_installment_accounts,float64
Number_of_currently_active_installment_trades,float64
Number_of_installment_accounts_opened_in_past_12_months,float64
Number_of_installment_accounts_opened_in_past_24_months,float64
Months_since_oldest_installment_account_opened,float64
Months_since_most_recent_installment_accounts_opened,float64
Number_of_installment_trades_with_balance_balance_greater_than_0,float64
Number_of_mortgage_accounts,float64
Number_of_currently_active_mortgage_accounts,float64
Number_of_mortgage_accounts_opened_in_past_12_months,float64
Number_of_mortgage_accounts_opened_in_past_24_months,float64
Months_since_oldest_mortgage_account_opened,float64
Months_since_most_recent_mortgage_account_opened,float64
Number_of_mortgage_accounts_with_current_balance_greater_than_0,float64
Number_of_personal_finance_accounts,float64
Number_of_currently_active_personal_finance_accounts,float64
Number_of_personal_finance_accounts_opened_in_past_12_months,float64
Number_of_personal_finance_accounts_opened_in_past_24_months,float64
Months_since_oldest_personal_finance_account_opened,float64
Months_since_most_recent_personal_finance_account_opened,float64
Number_of_personal_finance_trades_with_balance_balance_greater_than_0,float64
Number_of_revolving_accounts,float64
Number_of_currently_active_revolving_trades,float64
Number_of_revolving_trades_opened_in_past_12_months,float64
Number_of_revolving_trades_opened_in_past_24_months,float64
Months_since_oldest_revolving_account_opened,float64
Months_since_most_recent_revolving_account_opened,float64
Number_of_revolving_trades_with_balance_balance_greater_than_0,float64
Number_of_retail_trades,float64
Number_of_currently_active_retail_trades,float64
Number_of_retail_trades_opened_in_past_12_months,float64
Number_of_retail_trades_opened_in_past_24_months,float64
Months_since_oldest_retail_account_opened,float64
Months_since_most_recent_retail_account_opened,float64
Number_of_retail_trades_with_current_balance_balance_greater_than_0,float64
Number_of_open_trades,float64
Number_of_open_revolving_trades,float64
Number_of_accounts_opened_since_the_last_maximum_delinquency_of_60_day_past_due,float64
Number_of_accounts_opened_since_the_last_charge_off,float64
Number_of_accounts_with_a_maximum_delinquency_of_60_days_past_due_since_opening_a_new_account_within_the_last_12_months,float64
Number_of_accounts_with_a_maximum_delinquency_of_90_days_plus_past_due_since_opening_a_new_account_within_the_last_12_months,float64
Number_of_accounts_Charged_Off_since_opening_a_new_account_within_the_last_12_months,float64
Number_of_satisfactory_trades,float64
Months_since_most_recent_delinquency,float64
Number_of_satisfactory_bankcard_accounts,float64
Months_since_most_recent_bankcard_delinquency,float64
Number_of_satisfactory_bank_installment_accounts,float64
Number_of_charge_offs_within_12_months_CHGOFF12,float64
Highest_collection_amount_owed_in_12_months_COLAMT12,float64
Number_of_collection_inquiries_COLINQ,float64
Number_of_collections_in_12_months_COLLEC12,float64
Number_of_collections_in_12_months_excluding_medical_collections_COLXMD12,float64
Number_of_satisfactory_finance_installment_trades,float64
Number_of_30_day_ratings,float64
Number_of_60_day_ratings,float64
Number_of_90_day_ratings,float64
Number_of_120_day_ratings,float64
Number_of_30_and_60_day_ratings,float64
Number_of_30_day_or_worse_ratings,float64
Number_of_60_day_or_worse_ratings,float64
Number_of_90_day_or_worse_ratings,float64
Number_of_trades_with_maximum_delinquency_02_in_last_3_months,float64
Number_of_trades_with_maximum_delinquency_02_in_last_6_months,float64
Number_of_trades_with_maximum_delinquency_02_in_last_12_months,float64
Number_of_trades_with_maximum_delinquency_02_in_last_24_months,float64
Number_of_trades_with_maximum_delinquency_03_in_last_3_months,float64
Number_of_trades_with_maximum_delinquency_03_in_last_6_months,float64
Number_of_trades_with_maximum_delinquency_03_in_last_12_months,float64
Number_of_trades_with_maximum_delinquency_03_in_last_24_months,float64
Number_of_trades_with_maximum_delinquency_04_in_last_3_months,float64
Number_of_trades_with_maximum_delinquency_04_in_last_6_months,float64
Number_of_trades_with_maximum_delinquency_04_in_last_12_months,float64
Number_of_trades_with_maximum_delinquency_04_in_last_24_months,float64
Number_of_trades_ever_30_or_more_days_past_due,float64
Number_of_trades_ever_60_or_more_days_past_due,float64
Number_of_trades_ever_90_or_more_days_past_due,float64
Number_of_trades_ever_120_or_more_days_past_due,float64
Percent_of_trades_delinquent,float64
Number_of_trades_30_or_more_days_past_due_in_last_3_months,float64
Number_of_trades_30_or_more_days_past_due_in_last_6_months,float64
Number_of_trades_30_or_more_days_past_due_in_last_12_months,float64
Number_of_trades_30_or_more_days_past_due_in_last_24_months,float64
Number_of_trades_60_or_more_days_past_due_in_last_3_months,float64
Number_of_trades_60_or_more_days_past_due_in_last_6_months,float64
Number_of_trades_60_or_more_days_past_due_in_last_12_months,float64
Number_of_trades_60_or_more_days_past_due_in_last_24_months,float64
Number_of_trades_90_or_more_days_past_due_in_last_3_months,float64
Number_of_trades_90_or_more_days_past_due_in_last_6_months,float64
Number_of_trades_90_or_more_days_past_due_in_last_12_months,float64
Number_of_trades_90_or_more_days_past_due_in_last_24_months,float64
Number_of_trades_currently_past_due_updated_in_past_2_months,float64
Number_of_trades_currently_30_days_past_due_updated_in_past_2_months,float64
Number_of_trades_currently_60_days_past_due_updated_in_past_2_months,float64
Number_of_trades_currently_90_days_past_due_updated_in_past_2_months,float64
Number_of_trades_currently_120_days_past_due_updated_in_past_2_months,float64
Total_amount_now_past_due,float64
Number_of_derogatory_public_records,float64
Number_of_public_record_bankruptcies,float64
Months_since_most_recent_derogatory_public_record,float64
Number_of_satisfactory_mortgage_accounts,float64
Months_since_most_recent_mortgage_account_delinquency,float64
Number_of_satisfactory_personal_finance_accounts,float64
Months_since_most_recent_personal_finance_delinquency,float64
Number_of_satisfactory_revolving_accounts,float64
Months_since_most_recent_revolving_delinquency,float64
Number_of_satisfactory_retail_trades,float64
Months_since_most_recent_retail_delinquency,float64
Number_of_public_record_and_account_line_derogatory_items_greater_than_100,float64
Months_since_most_recent_60_day_or_worse_rating,float64
Months_since_most_recent_90_day_or_worse_rating,float64
Total_public_record_amounts,float64
Total_collection_amounts_ever_owed,float64
Number_of_tax_liens,float64
Total_high_credit_credit_limit,float64
Total_bankcard_high_credit_credit_limit,float64
Total_installment_high_credit_credit_limit,float64
Total_mortgage_high_credit_credit_limit,float64
Total_personal_finance_high_credit_credit_limit,float64
Total_revolving_high_credit_credit_limit,float64
Total_retail_high_credit_credit_limit,float64
Highest_retail_high_credit_credit_limit,float64
Total_current_balance_of_all_trades,float64
Average_current_balance_of_all_trades,float64
Total_current_balance_of_all_trades_excluding_mortgage,float64
Maximum_balance_owed_on_all_bankcard_accounts,float64
Total_balance_of_all_bankcard_accounts,float64
Average_current_balance_of_all_bankcard_accounts,float64
Maximum_balance_owed_on_all_finance_installment_trades,float64
Total_current_balance_of_all_installment_accounts,float64
Average_balance_of_all_installment_trades,float64
Maximum_current_balance_owed_on_all_mortgage_accounts,float64
Total_current_balance_of_all_mortgage_accounts,float64
Average_current_balance_of_mortgage_accounts,float64
Maximum_balance_owed_on_all_personal_finance_trades,float64
Total_current_balance_of_all_personal_finance_accounts,float64
