ID,Variable,Categoria
G057,Number_of_trades_30_or_more_days_past_due_in_last_3_months,delinquency
G058,Number_of_trades_30_or_more_days_past_due_in_last_6_months,delinquency
G059,Number_of_trades_30_or_more_days_past_due_in_last_12_months,delinquency
G061,Number_of_trades_30_or_more_days_past_due_in_last_24_months,delinquency
G062,Number_of_trades_60_or_more_days_past_due_in_last_3_months,delinquency
G063,Number_of_trades_60_or_more_days_past_due_in_last_6_months,delinquency
G064,Number_of_trades_60_or_more_days_past_due_in_last_12_months,delinquency
G066,Number_of_trades_60_or_more_days_past_due_in_last_24_months,delinquency
G051,Percent_of_trades_delinquent,delinquency
G091,Total_amount_now_past_due,delinquency
G094,Number_of_public_record_bankruptcies,delinquency
G095,Months_since_most_recent_derogatory_public_record,delinquency
S064,Total_collection_amounts_ever_owed,delinquency
CH0F,Number_of_charge_offs_within_12_months_CHGOFF12,delinquency
COAM,Highest_collection_amount_owed_in_12_months_COLAMT12,delinquency
COLL,Number_of_collections_in_12_months_COLLEC12,delinquency
CXMD,Number_of_collections_in_12_months_excluding_medical_collections_COLXMD12,delinquency
AT36,Months_since_most_recent_delinquency,delinquency
SC01,Score_1,otros
CTE,CLIENTEID,otros
MES,MES_INFORMACION,otros
TAR,EVER30_12M,otros
