ID,Variable,Categoria
IN01,Number_of_installment_accounts,installment
IN02,Number_of_currently_active_installment_trades,installment
IN07,Number_of_installment_accounts_opened_in_past_12_months,installment
IN09,Number_of_installment_accounts_opened_in_past_24_months,installment
IN20,Months_since_oldest_installment_account_opened,installment
IN21,Months_since_most_recent_installment_accounts_opened,installment
IN29,Number_of_installment_trades_with_balance_balance_greater_than_0,installment
PF03,Number_of_satisfactory_personal_finance_accounts,installment
PF36,Months_since_most_recent_personal_finance_delinquency,installment
IN28,Total_installment_high_credit_credit_limit,installment
IN33,Total_current_balance_of_all_installment_accounts,installment
IN35,Average_balance_of_all_installment_trades,installment
PF32,Maximum_balance_owed_on_all_personal_finance_trades,installment
CTE,CLIENTEID,otros
MES,MES_INFORMACION,otros
TAR,EVER30_12M,otros
