ID,Variable,Categoria
RE01,Number_of_revolving_accounts,revolving
RE02,Number_of_currently_active_revolving_trades,revolving
RE01,Number_of_revolving_trades_opened_in_past_12_months,revolving
RE09,Number_of_revolving_trades_opened_in_past_24_months,revolving
RE20,Months_since_oldest_revolving_account_opened,revolving
RE21,Months_since_most_recent_revolving_account_opened,revolving
RE29,Number_of_revolving_trades_with_balance_balance_greater_than_0,revolving
S012,Number_of_open_revolving_trades,revolving
RE03,Number_of_satisfactory_revolving_accounts,revolving
RE36,Months_since_most_recent_revolving_delinquency,revolving
RE28,Total_revolving_high_credit_credit_limit,revolving
RE33,Total_current_balance_of_all_revolving_accounts,revolving
RE35,Average_current_balance_of_all_revolving_accounts,revolving
BR34,Ratio_of_total_balance_to_high_credit_credit_limit_for_all_bank_revolving_accounts,revolving
RE34,Ratio_of_total_current_balance_to_high_credit_credit_limit_for_all_revolving_accounts,revolving
RE32,Maximum_current_balance_owed_on_all_revolving_accounts,revolving
CTE,CLIENTEID,otros
MES,MES_INFORMACION,otros
TAR,EVER30_12M,otros
